Age,Experience_years,Daily_work_hours,Sleep_hours,Caffeine_intake,Bugs_per_day,Commits_per_day,Meetings_per_day,Screen_time,Exercise_hours,Stress_level,Burnout_level,Age_Group
35,10,8.23,5.65,1,8,21,8,9.23,0.49,41,Medium,31-35
34,2,5.88,6.37,1,9,25,0,9.23,0.52,12,Low,31-35
27,4,4.22,4.35,7,7,12,1,8.69,1.88,32,Low,26-30
33,9,9.2,4.26,6,8,2,4,11.5,0.81,67,Medium,31-35
32,12,10.8,5.46,3,5,10,4,15.54,1.06,47,Medium,31-35
44,3,4.86,5.48,0,17,10,6,7.19,1.45,59,Medium,41-45
27,12,8.61,4.59,2,9,4,7,12.05,0.74,50,Medium,26-30
40,11,11.44,6.02,5,14,5,9,15.33,0.21,100,High,36-40
35,4,13.86,5.42,4,12,3,5,16.24,1.31,85,High,31-35
32,9,10.67,4.13,4,10,9,5,13.08,1.33,74,High,31-35
37,8,6.45,8.43,1,1,9,4,9.33,0.52,14,Low,36-40
34,19,11.17,8.43,7,7,11,4,15.51,0.07,73,High,31-35
40,6,9.98,5.05,0,17,21,7,11.38,1.33,85,High,36-40
43,1,6.12,4.81,0,2,22,4,9.65,1.41,31,Low,41-45
44,6,12.51,6.74,2,2,17,5,16.22,0.05,48,Medium,41-45
32,7,8.27,7.15,2,6,29,2,11.5,1.39,24,Low,31-35
28,6,13.62,8.79,1,17,14,4,18.36,1.88,62,Medium,26-30
34,13,11.23,5.89,1,8,22,8,14.64,0.36,59,Medium,31-35
32,18,10.45,7.09,1,17,22,2,13.99,1.04,53,Medium,31-35
20,4,11.28,8.39,3,0,17,7,14.68,1.39,23,Low,20-25
44,17,8.78,6.25,0,3,2,6,12.67,0.46,34,Low,41-45
26,19,9.05,4.61,1,3,2,3,10.59,1.5,30,Low,26-30
28,11,12.51,5.89,6,16,0,4,12.02,1.74,84,High,26-30
43,16,10.81,4.68,0,1,16,7,11.98,1.63,38,Medium,41-45
20,12,12.97,4.08,5,14,9,9,16.53,0.52,100,High,20-25
31,1,12.91,7.76,4,12,26,6,16.37,1.61,94,High,31-35
27,12,13.76,5.19,4,8,5,9,15.59,0.83,92,High,26-30
43,6,11.0,4.01,0,6,24,9,12.16,0.53,66,Medium,41-45
30,9,9.02,8.36,5,11,24,1,10.58,0.34,47,Medium,26-30
38,5,5.66,6.22,4,11,10,7,7.75,1.82,46,Medium,36-40
36,2,11.05,5.19,4,13,13,7,15.58,0.85,100,High,36-40
27,2,6.92,5.31,4,14,16,8,11.34,1.73,61,Medium,26-30
22,17,6.83,5.2,2,0,27,1,8.09,0.32,23,Low,20-25
22,10,6.38,4.97,5,8,6,3,8.54,1.53,27,Low,20-25
20,19,12.75,8.21,7,15,21,1,17.31,0.22,69,Medium,20-25
24,4,12.68,4.85,2,8,3,3,12.02,0.04,66,Medium,20-25
29,18,10.31,6.81,0,15,10,2,15.29,1.99,35,Medium,26-30
26,18,8.73,4.39,0,1,18,6,10.76,0.15,45,Medium,26-30
28,14,10.72,8.75,3,9,8,5,14.68,0.92,52,Medium,26-30
26,15,10.07,7.02,7,17,25,6,12.74,1.76,80,High,26-30
28,8,8.16,8.52,2,12,20,1,9.7,1.64,13,Low,26-30
27,3,7.8,5.99,0,1,7,3,9.82,0.94,11,Low,26-30
31,14,7.83,8.05,7,12,19,5,11.53,1.22,49,Medium,31-35
21,11,9.89,8.27,2,2,3,4,12.24,1.26,18,Low,20-25
20,2,10.48,7.51,3,14,15,1,13.9,0.22,37,Medium,20-25
35,13,8.52,4.46,0,2,5,6,10.34,0.57,53,Medium,31-35
42,16,13.69,4.08,0,9,5,1,16.48,0.6,85,High,41-45
42,18,4.84,4.84,0,5,18,8,7.89,0.76,46,Medium,41-45
43,5,7.47,4.59,0,13,1,6,10.12,0.55,63,Medium,41-45
24,3,8.19,7.63,1,8,10,2,9.98,0.5,25,Low,20-25
22,6,4.17,6.79,5,17,24,5,7.02,0.71,70,High,20-25
31,18,7.65,6.63,5,9,17,4,11.42,0.76,54,Medium,31-35
27,16,6.74,5.26,2,5,8,8,11.6,0.97,37,Medium,26-30
41,15,9.06,4.77,2,14,27,2,13.22,0.35,77,High,41-45
22,14,7.36,5.03,7,13,15,1,9.01,1.58,53,Medium,20-25
20,7,11.26,6.0,7,14,10,1,13.35,1.72,81,High,20-25
22,18,9.1,7.7,2,19,13,3,10.42,0.5,79,High,20-25
24,7,5.3,5.27,3,5,7,0,6.84,0.25,13,Low,20-25
34,17,11.5,7.49,6,11,26,8,13.5,1.44,76,High,31-35
33,10,4.99,6.46,1,9,12,2,6.79,1.85,18,Low,31-35
22,19,8.99,8.43,6,18,9,4,14.24,0.07,88,High,20-25
20,18,13.31,5.16,2,7,22,5,15.23,0.03,56,Medium,20-25
24,9,7.22,6.25,7,4,11,7,9.42,0.37,53,Medium,20-25
42,16,13.26,4.48,7,9,20,2,14.76,1.37,76,High,41-45
33,12,11.93,5.68,2,10,28,4,14.04,1.93,60,Medium,31-35
26,12,13.22,6.53,0,19,2,6,16.97,1.5,72,High,26-30
28,6,10.66,7.66,7,13,1,1,12.61,1.02,57,Medium,26-30
34,9,6.36,4.99,6,13,10,2,8.05,1.4,70,High,31-35
34,1,12.95,5.09,7,1,23,7,14.22,0.46,83,High,31-35
29,3,5.84,7.16,0,16,17,9,8.84,1.38,49,Medium,26-30
32,5,6.13,5.91,7,14,23,7,10.5,0.64,72,High,31-35
38,17,6.71,6.41,6,2,20,2,7.95,0.44,41,Medium,36-40
26,5,7.04,8.18,4,2,24,9,10.21,0.47,35,Medium,26-30
36,16,9.14,6.5,0,2,3,6,12.74,1.34,51,Medium,36-40
39,13,11.13,7.26,2,2,7,1,14.5,1.53,19,Low,36-40
23,10,13.26,7.28,0,17,28,8,17.77,1.16,85,High,20-25
24,10,4.88,8.02,2,5,10,7,9.35,0.13,21,Low,20-25
42,1,13.54,7.19,6,13,14,5,14.77,0.08,100,High,41-45
26,2,13.21,4.32,3,2,22,8,15.65,0.43,69,Medium,26-30
32,10,4.54,5.71,3,0,27,6,8.22,0.57,31,Low,31-35
34,5,7.6,8.95,4,9,23,3,12.41,0.81,31,Low,31-35
30,13,12.13,4.98,7,12,20,4,16.35,0.15,91,High,26-30
23,18,10.12,6.93,1,8,1,6,11.83,1.45,63,Medium,20-25
32,15,11.79,8.21,0,1,22,4,13.91,1.42,37,Medium,31-35
26,6,11.19,6.93,5,9,18,9,15.24,0.69,92,High,26-30
38,7,8.97,5.86,0,11,14,7,11.86,1.13,69,Medium,36-40
41,18,4.41,4.4,1,18,28,4,7.6,0.2,79,High,41-45
21,19,9.84,5.81,7,2,25,4,13.28,0.83,63,Medium,20-25
29,15,4.49,4.91,7,18,25,4,5.9,1.72,57,Medium,26-30
32,6,8.99,8.8,6,0,25,3,14.46,1.32,30,Low,31-35
44,8,12.0,7.58,1,14,27,6,16.45,0.21,93,High,41-45
40,12,8.99,7.75,6,12,26,1,12.72,1.7,51,Medium,36-40
25,0,13.97,6.18,4,6,25,9,17.48,1.36,90,High,20-25
31,7,8.56,4.55,1,1,12,3,12.2,0.91,45,Medium,31-35
31,3,11.49,5.33,2,19,1,2,13.25,1.38,74,High,31-35
39,2,10.67,5.3,0,10,2,9,12.12,0.35,68,Medium,36-40
30,2,13.91,6.43,1,15,29,7,14.99,1.1,97,High,26-30
42,12,11.13,6.3,2,13,13,6,15.78,1.24,67,Medium,41-45
44,7,5.64,6.17,1,14,19,2,8.02,1.86,45,Medium,41-45
26,6,13.56,6.48,5,19,25,3,14.9,0.13,74,High,26-30
20,0,10.68,8.94,2,18,12,3,13.54,0.75,58,Medium,20-25
20,10,4.59,5.49,3,6,26,9,5.89,1.87,40,Medium,20-25
44,5,10.58,7.08,7,8,22,6,11.92,0.43,64,Medium,41-45
32,6,12.83,5.2,2,3,25,7,15.79,1.63,81,High,31-35
39,11,8.99,6.33,4,5,15,3,12.81,0.0,53,Medium,36-40
32,8,7.54,5.0,6,9,11,7,10.86,0.05,63,Medium,31-35
28,10,12.21,6.79,2,2,0,0,15.84,0.66,42,Medium,26-30
22,9,11.83,5.33,1,0,5,8,15.5,1.54,43,Medium,20-25
26,0,9.44,4.18,3,5,12,6,12.02,0.21,69,Medium,26-30
25,17,5.54,8.08,7,4,21,3,9.11,0.77,37,Medium,20-25
27,3,6.51,4.64,7,14,23,7,8.73,0.26,75,High,26-30
28,4,11.38,5.84,3,10,1,9,14.15,0.45,85,High,26-30
24,8,12.06,6.39,2,19,17,1,14.63,1.01,64,Medium,20-25
20,16,6.79,6.16,1,12,16,7,9.11,0.64,46,Medium,20-25
38,2,7.68,7.63,7,5,18,9,9.63,0.42,68,Medium,36-40
29,15,4.78,6.98,3,4,22,5,6.09,0.79,21,Low,26-30
31,4,11.13,5.48,5,1,14,6,14.15,1.4,80,High,31-35
43,15,4.04,4.26,2,16,7,6,7.19,0.24,62,Medium,41-45
34,2,4.47,6.46,2,11,22,1,6.81,0.96,5,Low,31-35
41,19,4.04,5.76,6,11,8,1,8.94,0.55,55,Medium,41-45
43,14,10.45,8.45,7,13,7,3,13.68,0.76,50,Medium,41-45
28,2,8.17,5.98,7,6,7,5,12.73,1.64,47,Medium,26-30
39,19,6.98,7.59,7,13,10,3,10.26,1.86,47,Medium,36-40
36,13,13.13,8.7,2,9,17,5,14.89,0.49,63,Medium,36-40
36,15,5.93,7.26,3,8,16,4,10.83,1.26,23,Low,36-40
39,16,7.89,6.07,0,13,21,5,12.43,1.35,50,Medium,36-40
31,19,13.4,6.84,1,16,22,8,16.29,1.68,100,High,31-35
26,17,8.27,6.72,4,16,5,5,10.24,1.8,75,High,26-30
21,17,9.55,6.92,4,12,22,5,11.44,0.94,81,High,20-25
22,13,4.8,4.73,7,17,23,7,9.02,1.97,56,Medium,20-25
36,17,11.9,7.49,1,18,1,4,13.18,1.94,73,High,36-40
24,14,8.23,4.73,0,16,0,4,11.78,1.01,66,Medium,20-25
36,14,12.01,4.07,6,5,9,9,15.57,1.08,70,High,36-40
43,5,6.54,7.12,6,11,7,0,8.27,1.34,29,Low,41-45
36,14,8.22,4.58,6,5,15,5,12.04,0.75,62,Medium,36-40
36,17,11.87,7.85,6,2,23,0,15.69,1.32,37,Medium,36-40
21,3,13.74,8.33,1,14,13,7,16.14,1.03,75,High,20-25
21,7,4.6,8.72,2,9,23,9,7.53,0.07,27,Low,20-25
41,14,12.12,7.32,5,14,15,8,16.45,1.71,98,High,41-45
42,2,7.01,6.41,1,0,13,5,10.1,1.88,20,Low,41-45
24,14,9.51,5.76,1,2,25,8,12.98,0.05,33,Low,20-25
20,12,6.9,6.45,5,4,6,1,9.55,1.58,34,Low,20-25
20,8,10.13,4.95,3,13,17,8,11.73,0.77,71,High,20-25
38,1,7.54,5.74,4,3,19,3,12.53,1.17,21,Low,36-40
21,7,7.34,7.59,7,8,8,2,10.47,1.0,40,Medium,20-25
40,19,4.38,5.09,4,17,23,0,6.73,1.1,41,Medium,36-40
31,16,5.47,5.32,7,9,3,0,9.33,0.99,27,Low,31-35
25,12,13.17,7.75,2,7,23,7,16.65,1.71,73,High,20-25
42,0,13.98,4.89,5,12,25,1,15.91,1.37,81,High,41-45
23,1,11.81,5.23,6,1,28,0,16.32,0.83,33,Low,20-25
42,14,6.87,4.09,6,19,15,1,8.15,1.38,54,Medium,41-45
32,11,8.02,7.6,2,19,21,2,11.44,1.93,45,Medium,31-35
32,13,11.4,7.09,3,6,10,3,14.31,0.16,55,Medium,31-35
36,1,13.69,7.47,2,10,8,8,15.96,0.78,77,High,36-40
25,17,8.55,5.07,5,4,16,6,12.86,1.74,32,Low,20-25
43,6,12.3,7.44,5,17,21,4,15.93,1.48,73,High,41-45
24,5,13.75,6.98,0,7,10,4,17.79,1.87,64,Medium,20-25
39,13,12.73,5.83,3,9,19,5,15.39,0.08,80,High,36-40
21,7,6.27,6.19,5,1,2,0,11.04,1.73,19,Low,20-25
25,1,4.08,6.84,5,2,20,5,12.02,1.58,22,Low,20-25
41,16,8.92,6.47,3,4,14,5,12.04,1.63,22,Low,41-45
30,4,9.31,7.21,6,15,10,4,14.04,1.19,59,Medium,26-30
35,13,6.01,4.9,1,9,7,9,7.34,1.02,64,Medium,31-35
35,19,6.85,6.7,6,10,26,8,8.29,1.08,63,Medium,31-35
20,2,11.65,6.25,4,18,9,9,16.63,0.82,99,High,20-25
28,4,8.7,6.31,0,15,5,9,13.59,1.05,80,High,26-30
25,15,7.17,6.35,6,11,16,4,11.26,1.48,62,Medium,20-25
35,17,10.23,8.41,5,1,5,8,13.17,1.19,30,Low,31-35
22,16,10.53,8.09,3,10,6,9,13.55,0.59,66,Medium,20-25
39,10,11.69,7.15,3,0,12,6,13.72,1.2,54,Medium,36-40
23,16,5.57,7.58,7,4,5,2,8.3,0.17,33,Low,20-25
38,15,11.42,6.46,1,13,2,8,14.15,0.01,100,High,36-40
22,1,9.99,7.72,6,9,26,9,11.13,0.8,100,High,20-25
38,3,4.58,6.43,4,6,24,6,7.39,1.51,39,Medium,36-40
39,6,11.77,5.59,4,4,12,3,14.69,1.65,49,Medium,36-40
26,1,7.83,4.7,5,7,9,8,11.49,1.1,71,High,26-30
39,5,7.3,4.38,1,14,25,5,10.37,1.74,75,High,36-40
28,16,8.48,6.46,5,4,3,8,12.93,0.25,53,High,26-30
20,6,7.46,4.81,2,12,4,3,9.93,1.93,49,Medium,20-25
27,4,7.38,4.15,3,18,20,9,10.02,1.84,95,High,26-30
26,10,12.08,7.66,6,1,18,1,15.37,1.2,43,Medium,26-30
37,19,5.25,5.24,6,4,27,8,12.02,0.12,53,Medium,36-40
27,15,13.71,5.84,5,4,17,9,16.28,0.91,84,High,26-30
20,18,9.55,8.11,0,5,14,3,13.29,0.36,19,Low,20-25
30,8,8.99,4.57,6,15,6,1,8.48,1.26,59,Medium,26-30
44,4,5.31,8.18,4,1,20,6,9.94,0.38,19,Low,41-45
44,7,9.92,7.2,5,4,28,6,13.38,0.96,54,Medium,41-45
37,8,10.33,5.71,2,14,0,4,11.95,0.41,76,High,36-40
42,4,4.53,4.59,3,0,25,4,7.48,0.36,15,Low,41-45
29,9,6.43,4.46,7,18,16,7,10.49,0.5,92,High,26-30
22,1,11.95,5.68,6,2,23,5,15.52,0.06,66,Medium,20-25
26,8,4.5,4.7,7,18,19,0,9.04,1.43,46,Medium,26-30
35,10,12.55,5.34,2,14,28,3,16.55,0.61,48,Medium,31-35
35,3,10.58,4.26,7,2,19,0,11.83,1.4,49,Medium,31-35
44,1,8.34,6.98,5,7,29,4,9.79,1.31,34,Low,41-45
39,5,7.46,4.73,3,14,24,4,11.06,1.02,60,Medium,36-40
36,13,4.19,7.78,3,0,17,3,6.14,0.62,0,Low,36-40
21,0,12.25,5.09,1,5,4,8,15.6,1.13,64,Medium,20-25
20,17,5.43,7.99,1,16,21,7,9.6,1.84,39,Medium,20-25
35,6,7.1,4.95,7,15,5,9,10.41,0.8,88,High,31-35
31,0,9.69,7.61,0,12,9,2,12.35,1.01,58,Medium,31-35
24,0,6.46,5.67,0,0,27,4,10.05,1.5,16,Low,20-25
24,0,8.97,6.92,6,2,29,5,10.54,1.61,36,Medium,20-25
42,3,12.09,4.19,7,5,18,4,15.98,1.85,67,Medium,41-45
28,3,8.71,6.48,2,19,9,7,12.5,0.99,85,High,26-30
28,17,13.49,4.74,1,2,5,4,16.55,0.39,69,Medium,26-30
22,10,12.48,6.43,3,14,9,7,14.6,1.53,72,High,20-25
38,0,7.33,4.71,1,14,9,9,11.52,0.25,67,Medium,36-40
35,9,8.0,6.19,7,10,20,9,11.04,0.84,72,High,31-35
35,8,8.23,4.55,3,5,11,2,9.47,1.26,37,Medium,31-35
22,3,10.26,5.1,1,5,23,4,14.93,1.38,42,Medium,20-25
39,5,6.87,6.98,3,8,3,3,10.94,1.47,28,Low,36-40
43,15,13.69,8.88,7,13,12,5,17.03,0.39,88,High,41-45
32,1,10.09,6.25,2,10,25,2,12.84,1.96,49,Medium,31-35
43,17,7.99,7.44,1,5,9,9,12.83,0.36,47,Medium,41-45
20,9,10.45,6.7,4,17,15,3,14.55,0.19,84,High,20-25
43,16,7.95,6.49,4,19,18,3,12.02,1.33,66,Medium,41-45
39,12,12.18,4.32,3,14,5,4,15.79,1.82,70,High,36-40
30,17,9.68,4.72,2,8,25,5,11.8,1.12,55,Medium,26-30
36,12,4.42,8.42,3,10,29,1,6.2,1.19,10,Low,36-40
27,16,5.77,6.05,2,1,8,9,7.86,1.08,30,Low,26-30
23,4,12.65,7.07,7,5,13,7,14.82,0.09,71,High,20-25
25,10,9.63,6.64,4,13,23,3,12.02,1.36,44,Medium,20-25
27,6,13.5,5.89,1,13,9,6,15.06,0.72,95,High,26-30
39,9,4.72,5.94,2,12,7,6,8.83,1.87,26,Low,36-40
22,16,6.95,6.78,4,4,2,9,10.04,0.37,52,Medium,20-25
35,14,5.94,4.71,3,8,16,1,8.48,0.6,45,Medium,31-35
44,17,9.54,5.94,6,10,18,6,11.74,1.01,68,Medium,41-45
22,18,7.83,6.23,6,6,29,0,10.88,0.95,57,Medium,20-25
44,1,5.57,8.93,0,1,2,1,7.84,0.8,9,Low,41-45
37,3,10.43,5.76,6,11,13,4,13.15,0.63,50,Medium,36-40
33,2,9.36,7.22,4,4,27,7,13.32,0.29,40,Medium,31-35
37,6,6.75,4.69,4,1,5,6,10.25,1.64,35,Medium,36-40
21,17,8.8,4.33,4,13,14,2,12.79,0.9,59,Medium,20-25
41,9,11.46,8.36,1,6,18,9,15.31,1.15,66,Medium,41-45
22,6,6.05,7.65,5,4,17,8,10.31,1.09,42,Medium,20-25
35,7,6.93,5.59,1,3,11,4,8.74,1.15,11,Low,31-35
28,5,7.46,6.52,6,9,14,2,12.44,1.41,51,Medium,26-30
23,0,8.99,4.68,0,15,24,6,14.37,1.26,99,High,20-25
20,3,12.47,7.54,6,5,5,3,16.34,0.55,46,Medium,20-25
23,13,7.76,4.35,4,5,20,0,11.47,1.11,30,Low,20-25
20,16,6.97,7.79,7,8,11,4,10.23,0.49,40,Medium,20-25
33,19,12.89,6.73,2,0,18,7,17.87,1.18,69,Medium,31-35
40,17,13.99,5.39,4,15,6,3,15.86,0.86,100,High,36-40
35,10,10.7,8.31,5,16,22,6,13.39,0.08,75,High,31-35
39,13,13.9,8.93,1,12,19,7,15.41,1.47,68,Medium,36-40
43,8,10.6,5.27,3,5,9,8,12.33,0.55,79,High,41-45
27,14,11.33,8.03,6,1,17,8,15.18,1.84,51,Medium,26-30
26,11,7.89,7.75,0,7,1,4,8.91,0.56,33,Low,26-30
22,9,8.33,7.74,5,3,12,5,12.89,1.99,41,Medium,20-25
36,18,5.44,8.79,4,8,14,6,8.97,0.93,36,Medium,36-40
20,18,12.23,6.43,2,6,27,9,14.99,0.05,81,High,20-25
35,5,13.31,7.37,5,0,23,1,15.64,0.15,36,Medium,31-35
31,19,8.99,8.12,7,13,3,8,11.74,0.16,87,High,31-35
38,5,7.44,6.4,7,1,6,0,12.13,0.11,36,Medium,36-40
41,7,5.54,6.41,4,7,2,5,9.39,0.54,39,Medium,41-45
42,0,6.65,6.46,2,10,24,5,9.0,0.65,32,Low,41-45
41,16,6.55,7.9,0,4,15,6,7.83,1.02,34,Low,41-45
32,16,10.14,7.43,7,17,25,5,12.44,0.88,60,Medium,31-35
25,14,13.45,6.26,2,11,8,5,15.19,0.73,55,Medium,20-25
25,6,4.48,6.1,2,19,22,5,8.63,1.27,47,Medium,20-25
32,18,8.99,4.36,7,18,22,8,7.89,0.39,63,Medium,31-35
32,2,10.0,4.03,4,4,16,5,12.99,1.83,61,Medium,31-35
41,10,6.84,6.64,0,6,25,4,11.38,1.03,14,Low,41-45
27,19,12.81,6.09,7,1,7,6,14.53,1.25,65,Medium,26-30
21,18,7.27,7.98,7,16,17,6,10.08,0.08,51,Medium,20-25
40,8,6.9,6.71,3,12,23,4,10.74,1.12,37,Medium,36-40
20,9,6.7,8.68,7,10,26,6,7.97,0.74,50,Medium,20-25
34,1,5.45,4.98,3,4,12,2,7.94,1.85,35,Medium,31-35
20,0,9.82,8.95,2,12,1,6,13.11,1.77,47,Medium,20-25
24,15,5.68,5.49,5,12,0,5,8.15,1.28,48,Medium,20-25
35,17,8.25,7.21,7,7,15,5,11.17,1.54,55,Medium,31-35
38,16,8.99,6.51,1,10,15,1,12.04,1.29,53,Medium,36-40
23,5,4.2,5.8,0,7,10,1,6.67,0.03,19,Low,20-25
22,13,4.17,4.7,6,9,23,6,5.59,1.41,49,Medium,20-25
36,14,9.2,4.67,1,10,3,0,10.76,1.02,43,Medium,36-40
36,13,10.96,7.56,0,0,10,8,14.07,1.37,33,Low,36-40
31,2,13.42,5.89,0,6,25,2,15.12,0.02,64,Medium,31-35
33,18,5.79,8.81,4,7,5,5,10.35,0.62,4,Low,31-35
40,11,5.03,5.63,7,5,25,2,9.37,1.03,6,Low,36-40
25,1,4.52,8.92,2,13,28,8,6.92,0.67,52,Medium,20-25
22,2,8.36,5.03,4,19,10,9,12.68,1.39,99,High,20-25
28,17,10.23,4.51,7,6,25,6,13.36,1.05,65,Medium,26-30
24,0,12.41,5.56,5,2,0,0,14.05,1.92,31,Low,20-25
43,19,10.83,8.43,6,1,8,3,14.29,0.72,45,Medium,41-45
36,5,6.08,6.61,1,17,26,4,9.8,1.44,51,Medium,36-40
33,4,8.62,4.68,4,2,6,6,9.96,1.67,31,Low,31-35
40,0,13.1,5.01,3,13,20,6,15.36,0.51,91,High,36-40
22,18,7.27,5.56,5,17,21,4,8.29,1.51,44,Medium,20-25
20,0,8.99,6.95,6,12,2,0,11.26,0.79,44,Medium,20-25
39,15,13.59,5.66,5,7,28,4,15.93,0.26,77,High,36-40
